Year,Population,Elderly (%),GDP per Capita,Hospital Beds,Doctors per 1000,Smoking Rate,Mortality Rate,Life Expectancy
1990,409953,9.09,1306.94,2.0,0.34,43.23,27.88,46.84
2000,832494,2.36,759.54,1.65,0.24,49.67,16.33,36.44
2017,981741,5.03,1111.16,1.1,0.77,47.01,27.97,37.95
2014,848003,4.63,1113.59,1.74,0.58,28.24,19.81,36.46
2012,297654,5.6,415.18,0.76,0.88,34.1,17.67,51.25
2020,291570,2.88,1988.65,0.55,0.51,25.04,18.59,50.05
2019,47265,11.37,1216.31,0.81,0.33,25.19,21.27,50.07
2024,945354,7.54,2108.8,1.01,0.87,47.05,18.77,49.33
1996,259321,5.06,2170.77,1.27,0.64,54.34,19.81,48.39
2005,76150,5.97,766.39,1.42,0.35,58.51,17.02,44.54
2015,621600,6.47,1746.18,1.87,0.78,45.13,19.44,47.85
1991,99613,8.01,1339.02,1.26,0.61,27.36,23.58,35.77
1990,347054,7.16,2236.34,1.25,0.68,24.23,21.63,47.43
2001,848807,11.19,774.63,0.58,0.57,52.51,20.2,50.56
1994,131826,6.97,1791.19,0.55,0.86,43.15,26.2,45.01
2021,569723,11.92,1637.05,1.33,0.86,44.73,28.4,42.15
1998,892875,10.51,949.66,1.16,0.77,51.26,26.35,40.55
2024,460348,4.09,600.52,1.76,0.28,48.13,19.98,47.86
2008,220017,11.31,1733.61,0.74,0.87,53.38,26.17,48.86
2005,144055,3.16,1924.91,0.54,0.74,22.25,17.28,52.42
1992,500457,10.17,994.38,1.17,0.76,49.9,16.95,41.85
2009,686022,5.81,1718.63,0.86,0.49,54.03,20.18,50.4
2013,819942,10.78,1169.29,0.57,0.9,31.45,27.12,46.23
2022,743547,10.68,1869.06,1.59,0.78,45.62,18.7,52.66
2013,706358,10.06,738.27,0.67,0.29,32.57,15.95,45.56
2000,460062,9.9,2258.47,1.41,0.53,58.32,16.98,45.35
1997,104071,5.05,932.3,0.92,0.91,21.34,27.88,46.56
2009,803072,2.81,1109.13,0.76,0.24,43.19,24.51,49.99
2024,316691,6.03,427.8,1.07,0.97,26.66,18.8,54.29
2014,851052,3.74,545.33,1.7,0.74,48.49,23.33,36.47
2024,156389,8.95,1434.9,1.09,0.71,27.04,22.91,36.07
2014,649896,5.46,888.7,1.63,0.42,29.42,24.83,53.75
2018,279708,11.76,2138.06,0.69,0.4,39.77,18.5,45.6
2007,692705,8.41,332.33,1.66,0.95,56.59,27.97,47.3
2007,648112,10.22,1134.01,0.86,0.44,28.47,19.64,44.65
1991,264444,3.33,1042.16,1.52,0.82,25.77,25.41,36.87
2024,613561,10.62,342.52,1.35,0.51,50.36,15.24,50.36
2005,871291,11.23,573.61,1.89,0.31,40.02,20.59,49.94
2022,221837,6.87,1210.01,1.08,0.21,56.47,20.28,41.23
1993,120017,8.06,1384.3,0.6,0.64,25.86,23.15,41.12
2022,133618,9.65,1189.44,0.53,0.98,45.84,16.09,51.76
2003,979897,3.75,1468.06,1.74,0.5,29.32,26.85,36.45
2010,469297,7.03,1609.29,1.29,0.49,26.27,18.27,52.62
2009,135341,5.99,321.83,1.66,0.48,47.34,25.16,40.13
1997,825862,3.46,1321.01,0.85,0.62,43.75,27.05,46.86
1996,740892,5.68,2419.7,1.02,0.55,50.19,23.43,53.72
1992,562076,2.68,1441.87,0.55,0.9,32.38,26.11,48.56
2006,760865,2.26,1790.59,1.94,0.6,37.92,24.93,43.29
2022,451759,3.35,986.1,1.5,0.61,36.22,20.33,48.79
2001,941423,11.63,2002.78,1.9,0.31,59.36,27.13,41.88
2011,865778,7.5,2000.43,0.9,0.99,31.69,19.42,40.55
2011,892554,11.66,1446.85,1.42,0.4,31.79,23.57,54.93
2019,574262,6.32,2447.23,1.52,0.26,34.18,26.18,50.02
1997,903741,5.12,576.21,0.98,0.73,42.58,20.68,47.89
2016,550659,7.06,337.28,1.77,0.68,30.09,19.54,42.11
2016,841516,6.4,1994.35,1.92,0.53,56.61,21.89,35.98
2023,432845,3.06,2075.74,1.83,0.54,30.63,27.27,35.62
2010,716544,8.41,564.46,1.61,0.83,55.83,28.95,46.08
2019,334060,4.16,884.28,0.92,0.36,24.14,23.18,50.24
2022,608260,8.2,338.62,0.92,0.86,46.26,24.92,45.75
2017,203259,8.5,945.28,1.95,0.72,56.28,28.55,51.82
2022,285128,3.52,2000.91,0.52,0.54,26.75,16.48,35.67
1994,829471,2.61,1439.51,1.57,0.57,58.73,18.48,42.34
2008,619719,9.81,1065.81,1.56,0.41,38.12,25.63,39.74
1993,880123,6.6,1117.83,1.43,0.8,57.83,27.36,43.95
2024,855038,2.58,302.98,1.99,0.61,47.07,27.86,36.45
2006,413832,11.95,959.56,0.97,0.46,32.06,21.23,54.08
2017,899097,2.58,1722.21,1.01,0.68,27.53,16.34,39.47
2019,639661,8.95,2443.23,0.62,1.0,32.15,21.57,53.45
2018,191144,11.84,2163.53,1.16,0.55,23.72,18.46,43.52
1995,821006,4.39,351.91,0.89,0.94,25.75,19.37,54.71
2024,930934,3.42,2276.83,1.02,0.48,24.19,26.58,46.08
2013,260195,3.21,2023.04,1.75,0.24,36.92,16.13,53.62
2018,153748,5.03,2016.83,1.9,0.36,51.82,27.41,35.11
2020,414032,3.01,1307.59,0.78,0.53,25.66,21.42,49.96
2024,42733,8.92,1175.61,1.06,0.38,25.21,23.94,53.06
2022,751040,2.62,966.41,1.89,0.2,45.74,16.34,37.79
2010,536338,7.09,444.53,0.59,0.93,27.89,20.06,36.92
2021,119996,11.97,802.12,0.64,0.88,23.9,16.35,43.49
2012,568221,10.14,842.53,0.74,0.79,26.67,29.42,53.67
2022,559239,8.15,1364.97,1.39,0.33,56.95,27.11,45.85
1992,566701,5.06,1944.38,0.73,0.3,52.86,21.89,45.55
2007,175873,8.24,1342.38,1.95,0.25,34.16,18.35,37.82
2014,720979,7.27,427.26,1.17,0.78,46.23,29.0,35.02
2020,960417,6.26,2407.14,1.25,0.94,41.49,20.17,51.2
1992,909005,3.31,2373.99,0.87,0.54,47.08,17.41,36.75
2013,443816,10.87,2027.42,1.21,0.3,47.31,23.45,47.68
2021,723135,6.5,2480.92,1.49,0.61,45.15,29.16,53.29
2011,231888,3.95,1497.86,1.63,0.48,30.64,15.06,39.17
2012,795332,5.68,2418.09,1.63,0.5,21.56,18.57,48.31
1991,755453,6.14,466.33,1.37,0.7,38.22,29.08,36.57
2016,777950,10.28,1104.5,1.86,0.77,55.64,17.57,47.08
1991,176472,9.34,795.84,1.73,0.29,42.78,16.7,38.28
2015,407710,9.69,730.83,1.64,0.23,53.3,23.55,49.72
2006,221760,2.11,609.77,0.58,1.0,59.66,27.93,41.02
2022,132744,6.16,1669.31,0.51,0.39,26.54,22.16,44.27
1998,885863,6.81,2018.91,0.82,0.24,47.67,29.92,46.99
2018,740051,2.19,1572.26,1.5,0.35,46.97,25.19,38.43
2015,511946,4.6,623.32,1.12,0.23,59.2,16.11,49.83
2024,53001,9.6,2084.47,1.1,0.51,59.42,29.89,41.05
2014,601652,3.37,1699.1,1.83,0.84,47.47,21.12,48.25
2013,921420,7.35,1153.96,1.84,0.47,29.74,19.31,38.17
2002,841460,4.15,1783.09,1.86,0.56,51.94,23.37,48.76
1996,248506,2.12,871.79,0.97,0.74,24.28,19.56,37.56
2009,763019,4.41,1059.42,1.54,0.61,51.23,16.3,43.51
1990,440789,11.76,2318.47,0.91,0.89,56.41,15.02,39.94
1997,666166,10.02,939.11,0.79,0.89,35.31,21.74,49.97
2005,920775,11.6,1333.97,0.78,0.21,45.23,27.55,40.24
2003,721998,6.88,2258.31,1.01,0.82,37.21,23.58,52.63
2001,662589,3.1,1856.99,1.14,0.57,37.51,29.99,52.84
2012,922727,7.48,436.85,1.75,0.99,32.41,19.3,38.93
2004,509722,6.54,624.07,0.68,0.59,50.49,19.21,47.28
2017,695117,10.44,317.25,1.6,0.99,57.45,17.4,36.75
2023,568924,2.98,1688.03,1.3,0.8,57.63,17.46,42.83
1991,745457,6.88,1284.88,0.93,0.4,26.99,19.28,49.27
2021,189352,3.5,595.4,1.24,0.63,54.99,26.89,48.19
2012,820694,5.25,2407.46,0.95,0.99,49.5,28.59,47.49
2011,876867,9.37,1465.25,1.39,0.89,30.11,29.63,40.65
2014,203283,6.76,832.17,1.15,0.28,22.69,18.48,42.56
2011,982346,5.76,1401.33,0.75,0.77,30.72,28.22,37.06
2011,925015,5.94,1795.16,0.67,0.48,56.49,19.92,49.38
1995,460195,6.59,467.73,1.32,0.21,45.33,16.69,45.08
2004,779884,9.85,904.35,1.85,0.52,48.84,28.05,49.18
2022,441413,10.92,2075.32,1.02,0.39,30.29,24.54,39.98
1997,313988,11.55,1311.26,1.6,0.86,48.78,17.47,41.49
1994,336898,9.87,1502.47,1.49,0.47,21.12,21.45,41.68
1993,961661,5.15,1252.2,1.9,0.86,35.01,19.31,35.51
1995,873561,8.88,396.58,1.73,0.2,45.07,26.05,41.82
2021,312186,6.38,664.65,1.35,0.45,25.84,21.8,51.07
2019,71665,4.55,1280.19,1.49,0.39,52.92,29.84,52.95
2024,256584,10.41,760.21,1.85,0.39,29.4,15.82,45.36
2005,126953,2.38,409.95,1.1,0.25,46.09,20.33,44.11
2002,486072,11.02,2156.03,0.99,0.35,36.21,22.23,35.62
2019,692736,6.61,2458.62,0.52,0.64,43.84,22.55,52.58
2008,196626,8.37,2044.91,1.74,0.43,24.3,19.74,35.26
2006,155271,8.59,2178.33,1.7,0.53,20.68,25.94,53.9
2008,128533,10.95,832.35,0.66,0.5,56.38,28.12,44.78
2017,978452,8.37,2413.38,1.37,0.9,30.79,29.08,41.84
2015,608069,8.14,733.24,1.2,0.92,52.79,27.08,53.48
2015,475966,2.67,2393.15,0.68,0.59,59.97,27.76,35.49
2012,76262,7.18,2488.6,1.97,0.46,28.46,23.26,46.63
1998,843032,3.5,1865.79,0.82,0.29,30.61,27.39,45.98
2001,86898,9.37,2458.52,0.6,0.96,46.51,19.55,39.39
1990,465699,7.12,1552.99,1.39,0.25,58.62,20.98,43.58
1990,159369,8.8,870.99,1.61,0.44,56.63,19.75,48.05
2023,564736,2.42,1261.39,0.55,0.44,40.12,22.01,49.54
2021,298316,2.85,1605.83,1.49,0.46,51.8,19.28,35.01
2014,970378,9.16,460.78,1.3,0.33,25.43,29.42,53.74
1990,17657,2.72,1669.16,0.65,0.83,59.1,19.69,38.29
2005,487602,2.71,2458.59,0.76,0.3,58.57,16.47,39.67
1994,790977,2.12,718.24,1.35,0.71,26.55,22.9,40.27
2011,952929,11.57,2043.71,0.94,0.3,31.98,15.86,35.76
2018,954189,9.38,2297.38,1.91,0.26,24.01,16.66,37.46
1992,384999,5.53,2376.14,1.73,0.93,30.87,18.29,54.73
2001,952082,4.97,2412.3,1.98,0.35,52.64,21.97,41.3
2015,694191,5.5,1447.21,0.89,0.86,35.13,21.5,37.31
2005,17906,9.75,2450.08,1.95,0.64,23.54,27.0,37.14
2011,333557,8.61,1966.08,1.15,0.26,33.69,26.09,49.39
2018,588316,3.85,655.68,1.02,0.96,59.26,21.39,52.09
2003,803719,3.74,1349.18,0.58,0.4,45.19,20.01,40.14
2017,305804,2.98,1880.33,0.58,0.89,36.65,19.75,35.42
1994,478974,8.6,844.15,1.54,0.34,26.66,26.61,39.46
2019,856936,9.64,1709.35,1.19,0.88,59.45,15.78,36.13
1994,725080,4.65,1766.52,0.84,0.21,52.83,15.19,37.07
2001,637267,2.21,657.94,1.42,0.61,31.26,26.93,43.63
2005,44701,2.82,1543.19,0.88,0.82,22.8,22.16,39.6
2015,93300,11.68,1997.58,1.37,0.95,22.27,16.96,45.32
2015,775537,4.95,1397.57,1.04,0.93,24.82,18.53,40.07
2010,683034,9.69,326.63,1.74,0.86,43.23,28.99,53.81
2022,93560,8.25,319.88,1.73,0.91,57.15,27.89,53.12
2019,252615,5.82,1085.46,1.22,0.36,39.87,25.65,46.34
2012,951378,4.06,2337.63,1.03,0.43,53.72,22.23,42.09
1999,53642,3.21,803.09,1.04,0.43,37.84,22.8,42.62
1994,527083,8.15,1695.6,1.71,0.5,48.34,29.63,43.24
2023,501036,9.75,788.57,0.99,0.51,49.27,29.49,49.55
2020,337304,8.44,1007.67,0.81,0.64,26.96,18.23,44.03
1999,814034,7.3,2165.69,0.63,0.33,34.45,27.17,52.13
2008,375464,2.42,1903.5,1.2,0.75,45.49,17.96,53.88
2021,623089,11.68,509.88,1.22,0.33,22.83,18.2,41.72
1990,298075,9.99,1243.14,1.76,0.45,34.46,25.14,46.21
1994,104377,4.93,364.17,0.83,0.6,41.39,21.08,36.9
1993,825624,11.8,1357.96,1.07,0.84,59.85,28.97,39.01
2005,842974,8.02,1757.35,1.71,0.79,38.98,16.34,43.27
2013,923447,7.82,560.71,1.74,0.72,52.64,22.67,39.12
2005,838952,9.48,935.55,1.08,0.32,37.28,28.78,52.53
1991,336916,10.12,1175.24,1.19,0.64,51.86,28.56,38.17
2017,461978,8.56,2322.97,0.95,0.27,43.82,17.35,44.11
2021,322250,3.28,2485.16,1.9,0.5,55.46,20.5,47.11
2016,615409,5.38,398.8,0.68,0.53,36.44,24.29,48.84
2009,35559,11.28,1974.22,1.9,0.23,44.17,17.39,42.66
2013,902027,4.25,1117.79,1.53,0.42,45.2,29.52,52.38
2001,568030,5.72,1163.41,1.3,0.96,36.7,28.72,46.37
2024,866101,6.32,1959.38,0.55,0.96,25.77,17.5,43.79
2022,687114,6.39,2320.54,1.21,0.48,23.74,16.82,36.34
2022,145044,8.13,2392.04,1.11,0.23,20.67,16.28,44.29
2001,867263,11.43,1569.67,0.74,0.34,54.94,28.64,51.41
1992,122217,4.41,1085.67,1.48,0.51,29.46,17.9,47.29
1990,576161,3.22,2032.61,1.96,0.96,28.46,21.24,51.64
2022,902964,3.97,852.2,1.34,0.31,49.44,21.73,44.88
1999,922699,10.87,1540.96,1.57,0.81,32.8,23.99,37.37
2018,413119,8.46,1088.87,0.6,0.29,40.24,16.08,35.27
2002,668380,4.86,1744.59,1.13,0.99,26.5,18.4,41.06
2001,838187,10.16,828.88,0.67,0.51,58.39,28.97,48.96
2020,882388,10.61,721.5,1.42,0.82,54.06,28.63,50.81
1991,96988,10.47,2320.13,1.91,0.47,54.55,26.72,40.92
2024,579936,11.19,523.97,1.49,0.7,36.27,15.29,44.91
2012,135991,4.52,1413.11,0.62,0.35,50.49,19.91,43.42
2006,412732,9.55,785.88,1.03,0.32,25.76,24.42,43.21
2015,516079,6.61,385.65,1.33,0.95,20.34,19.13,39.63
1997,911437,10.42,379.24,1.1,0.93,20.8,28.64,37.73
2018,536684,9.28,685.49,1.75,0.91,43.46,24.51,38.93
2015,94082,9.76,2206.89,1.72,0.7,38.22,16.08,36.11
1999,946633,8.56,921.45,1.42,0.85,40.72,28.64,38.96
